id,reach,swipe_ups_count,tap_count,followers,avg_engagement_month,ffratio,total_likes,total_comments
3808,138.0,2,nil,12926,nil,15.94,nil,nil
3808,196.0,17,nil,12783,nil,15.72,nil,nil
4182,2302.0,7,nil,65098,1.38652173913043,24.21,5727,422
4182,2416.0,9,nil,65098,1.38652173913043,24.21,5727,422
4548,4000.0,200,nil,46830,7.79409090909091,102.92,42445,542
5353,5529.0,248,nil,53807,2.1634375,9.28,7948,925
5426,2696.0,265,nil,46998,1.69931034482759,7.91,11946,779
5426,2045.0,67,nil,46998,1.69931034482759,7.91,11946,779
6519,864.0,14,nil,21733,1.18755102040816,29.98,3297,260
6761,1100.0,7,nil,74106,1.12294117647059,122.29,8583,741
6761,536.0,6,nil,74106,1.12294117647059,122.29,8583,741
6761,201.0,3,nil,74106,1.12294117647059,122.29,8583,741
7173,369.0,10,nil,17564,nil,18.13,nil,nil
7173,431.0,9,nil,17554,nil,18.13,nil,nil
7796,279.0,13,nil,11353,8.77809523809524,31.1,9329,3030
7796,288.0,21,nil,11291,nil,43.43,nil,nil
7992,1369.0,5,nil,12856,6.00444444444444,3.3,8589,1117
8011,183.0,4,nil,15320,5.04333333333333,6.45,8245,323
8011,304.0,3,nil,15237,nil,6.99,nil,nil
9694,231.0,11,nil,10479,27.2744,45.36,12213,181
9694,298.0,14,nil,10479,27.2744,45.36,12213,181
9869,2117.0,284,nil,22665,5.83888888888889,19.52,15704,82
9869,1742.0,81,nil,22665,5.83888888888889,19.52,15704,82
9869,1798.0,164,nil,22665,5.83888888888889,19.52,15704,82
9930,2671.0,243,nil,30418,5.408125,30.03,19179,2733
9930,2175.0,241,nil,30418,5.408125,30.03,19179,2733
10028,3583.0,80,nil,12463,4.1075,17.98,7804,142
10028,2292.0,52,nil,12463,4.1075,17.98,7804,142
10404,588.0,3,nil,46611,2.58916666666667,106.66,13706,551
10404,555.0,4,nil,46611,2.58916666666667,106.66,13706,551
10404,697.0,2,nil,46611,2.58916666666667,106.66,13706,551
10591,700.0,5,nil,19822,2.94,54.61,5652,228
10591,920.0,23,nil,19822,2.94,54.61,5652,228
10776,343.0,10,nil,14270,3.80714285714286,19.34,8788,208
10838,83.0,16,nil,17618,9.53333333333333,5.78,14937,2214
10838,71.0,12,nil,17618,9.53333333333333,5.78,14937,2214
10928,1292.0,284,nil,60219,1.52434782608696,12.62,8812,1041
11180,379.0,2,nil,14816,3.16805555555556,20.38,7349,504
11531,175.0,15,nil,11367,nil,12.86,nil,nil
11662,3657.0,95,nil,72018,nil,791.41,91847,846
11662,3255.0,49,nil,71710,nil,788.02,91847,846
11891,595.0,42,nil,25634,nil,4.38,nil,nil
11891,594.0,41,nil,25634,nil,4.38,nil,nil
11972,600.0,5,nil,44932,nil,64.1,nil,nil
13976,252.0,1,nil,33295,1.07113636363636,62.23,5599,112
13976,197.0,2,nil,33295,1.07113636363636,62.23,5599,112
14623,104.0,0,nil,7146,3.96,1.41,2765,1086
14623,99.0,0,nil,7146,3.96,1.41,2765,1086
15791,675.0,60,nil,33001,nil,259.85,nil,nil
15929,356.0,432,nil,223,nil,-1.27,nil,nil
15929,2017.0,200,nil,227,nil,-1.28,nil,nil
16715,22.0,10,nil,21412,nil,62.61,nil,nil
16774,795.0,14,nil,21343,5.59875,349.89,13581,1834
16774,860.0,18,nil,21343,5.59875,349.89,13581,1834
17177,411.0,11,nil,11596,2.878,2.72,3908,137
17519,402.0,6,nil,10256,3.49357142857143,31.08,3693,765
